Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed
1,3,3,0,74.98497,74.98497,1,0,0
2,7,6,31.16959,64.1651,64.1651,2,30,0
3,13,2,40,74.99999,74.99999,0,40,0
4,16,4,20,75,75,1,20,0
5,19,6,32.2026,46.58009,46.58009,2,30,0
6,24,0,41.03857,60.9183,60.9183,0,38,0
7,27,3,20,75,75,1,20,0
8,30,6,32.63408,45.96422,45.96422,2,30,0
9,36,2,42.68677,70.27939,70.27939,0,40,0
10,38,3,20,50,50,1,20,0
11,42,6,33.02969,60.55157,60.55157,2,30,0
12,47,1,42.86374,58.32436,58.32436,0,40,0
13,49,3,20,50,50,1,20,0
14,54,8,29.89828,83.61684,83.61684,2,29,0
15,58,1,40,50,50,0,40,0
16,61,3,16.66666,90.00005,90.00005,1,16,0
17,65,2,30.00003,66.6666,66.6666,2,30,0
18,69,1,36.64929,54.57131,54.57131,0,35,0
19,72,3,20,75,75,1,20,0
20,75,5,26.66663,56.25009,56.25009,2,26,0
21,79,1,40,50,50,0,39,0
22,82,4,20,75,75,1,20,0
23,85,7,30,50,50,2,30,0
24,90,1,40,62.5,62.5,0,40,0
25,92,3,20,50,50,1,20,0
26,96,6,30.00006,66.66653,66.66653,2,30,0
27,100,1,40,50,50,0,40,0
28,102,3,20,50,50,1,20,0
29,106,7,30,66.66666,66.66666,2,30,0
30,111,1,40,62.5,62.5,0,40,0
31,113,3,20,50,50,1,20,0
32,117,7,30,66.66666,66.66666,2,30,0
33,122,1,40,62.5,62.5,0,40,0
34,125,3,20,75,75,1,20,0
35,129,7,30,66.66666,66.66666,2,30,0
36,133,1,40,50,50,0,39,0
37,136,3,20,75,75,1,20,0
38,139,6,30,50,50,2,30,0
39,144,2,40,62.5,62.5,0,40,0
40,146,3,20,50,50,1,18,0
41,150,6,30,66.66666,66.66666,2,30,0
42,154,1,40,50,50,0,40,0
43,157,4,20,75,75,1,20,0
44,160,7,30,50,50,2,30,0
45,164,1,40,50,50,0,40,0
46,167,3,20,75,75,1,20,0
47,170,3,30,50,50,2,30,0
48,174,1,40,50,50,0,40,0
49,176,3,20,50,50,1,20,0
50,179,6,30,50,50,2,30,0
51,183,1,40,50,50,0,40,0
52,185,3,20,50,50,1,20,0
53,189,7,30,66.66666,66.66666,2,30,0
54,193,1,40,50,50,0,40,0
55,196,4,30,50,50,1,28,0
56,200,6,30,66.66666,66.66666,2,30,0
57,204,1,40,50,50,0,40,0
58,207,4,20,75,75,1,20,0
59,211,6,30,66.66666,66.66666,2,30,0
60,215,1,40,50,50,0,40,0
61,218,4,20,75,75,1,20,0
62,221,7,30,50,50,2,30,0
