SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
10.03245,0,0,2,2,2,0,0,1,0,0,0
20.26223,2,9,3,3,3,0,74.98497,2,30,0,0
31.4604,2,9,5,4,4,0,74.98497,2,30,0,0
41.78237,2,9,6,5,5,0,74.98497,2,30,0,0
54.50694,3,7,8,7,7,0,64.1651,0,40,0,0
64.50694,3,8,9,1,1,0,64.1651,0,40,0,0
74.50694,3,8,10,1,1,0,64.1651,0,40,0,0
84.50694,3,8,12,2,2,0,64.1651,0,40,0,0
94.50694,4,5,13,1,1,0,74.99999,1,20,0,0
104.5069,4,6,15,3,3,0,74.99999,1,20,0,0
114.5069,5,5,16,4,4,0,75,2,30,0,0
124.5069,5,5,17,4,4,0,75,2,30,0,0
137.2611,5,5,18,5,5,0,75,2,30,0,0
150.0429,6,5,20,6,6,0,46.58009,0,38,0,0
160.0429,6,5,21,1,1,0,46.58009,0,38,0,0
171.2522,6,5,23,1,1,0,46.58009,0,38,0,0
184.4148,6,9,24,0,0,0,46.58009,0,38,0,0
194.4148,7,12,26,2,2,0,60.9183,1,20,0,0
204.4148,7,15,27,3,3,0,60.9183,1,20,0,0
214.4148,8,11,28,4,4,0,75,2,30,0,0
224.4148,8,11,29,5,5,0,75,2,30,0,0
237.0489,8,17,30,6,6,0,75,2,30,0,0
247.0489,9,9,31,2,2,0,45.96422,0,40,0,0
260.3078,9,9,33,1,1,0,45.96422,0,40,0,0
273.069,9,10,35,2,2,0,45.96422,0,40,0,0
283.069,10,7,36,1,1,0,70.27939,1,20,0,0
293.069,10,8,38,3,3,0,70.27939,1,20,0,0
303.069,11,5,39,4,4,0,50,2,30,0,0
313.069,11,7,40,4,4,0,50,2,30,0,0
326.0987,11,8,41,5,5,0,50,2,30,0,0
336.0987,12,4,42,6,6,0,60.55157,0,40,0,0
346.0987,12,6,44,2,2,0,60.55157,0,40,0,0
356.0987,12,6,45,1,1,0,60.55157,0,40,0,0
368.9624,12,8,46,1,1,0,60.55157,0,40,0,0
378.9624,13,5,47,1,1,0,58.32436,1,20,0,0
388.9624,13,7,49,3,3,0,58.32436,1,20,0,0
398.9624,14,4,50,4,4,0,50,2,29,0,0
408.9624,14,4,51,5,5,0,50,2,29,0,0
422.194,14,6,53,7,7,0,50,2,29,0,0
432.194,15,6,55,6,6,0,83.61684,0,40,0,0
442.194,15,7,56,1,1,0,83.61684,0,40,0,0
452.194,15,7,57,1,1,0,83.61684,0,40,0,0
462.194,15,9,58,1,1,0,83.61684,0,40,0,0
472.194,16,6,59,1,1,0,50,1,16,0,0
482.194,16,8,61,3,3,0,50,1,16,0,0
492.194,17,12,62,1,1,0,90.00005,2,30,0,0
502.194,17,14,63,1,1,0,90.00005,2,30,0,0
512.194,17,16,65,2,2,0,90.00005,2,30,0,0
522.194,18,11,66,1,1,0,66.6666,0,35,0,0
532.194,18,12,67,1,1,0,66.6666,0,35,0,0
545.5099,18,13,69,1,1,0,66.6666,0,35,0,0
555.5099,19,2,70,1,1,0,54.57131,1,20,0,0
565.5099,19,14,71,2,2,0,54.57131,1,20,0,0
575.5099,20,2,72,2,2,0,75,2,26,0,0
585.5099,20,12,74,4,4,0,75,2,26,0,0
595.5099,20,15,75,5,5,0,75,2,26,0,0
605.5099,21,3,76,1,1,0,56.25009,0,39,0,0
615.5099,21,13,77,1,1,0,56.25009,0,39,0,0
625.5099,21,15,78,1,1,0,56.25009,0,39,0,0
635.5099,21,16,79,1,1,0,56.25009,0,39,0,0
645.5099,22,4,80,2,2,0,50,1,20,0,0
