Step,Episode,Reward,CumulativeReward
7,1,74.98497,0
17,2,64.1651,0
18,3,74.99999,0
17,4,75,0
16,5,46.58009,0
9,6,60.9183,0
17,7,75,0
18,8,45.96422,0
18,9,70.27939,0
17,10,50,0
17,11,60.55157,0
17,12,58.32436,0
17,13,50,0
13,14,83.61684,0
17,15,50,0
8,16,90.00005,0
17,17,66.6666,0
14,18,54.57131,0
16,19,75,0
15,20,56.25009,0
16,21,50,0
16,22,75,0
16,23,50,0
16,24,62.5,0
17,25,50,0
16,26,66.66653,0
16,27,50,0
16,28,50,0
17,29,66.66666,0
15,30,62.5,0
15,31,50,0
16,32,66.66666,0
16,33,62.5,0
16,34,75,0
16,35,66.66666,0
16,36,50,0
16,37,75,0
16,38,50,0
17,39,62.5,0
14,40,50,0
17,41,66.66666,0
16,42,50,0
15,43,75,0
17,44,50,0
18,45,50,0
15,46,75,0
16,47,50,0
16,48,50,0
14,49,50,0
18,50,50,0
16,51,50,0
14,52,50,0
18,53,66.66666,0
16,54,50,0
21,55,50,0
16,56,66.66666,0
16,57,50,0
15,58,75,0
17,59,66.66666,0
16,60,50,0
15,61,75,0
17,62,50,0
16,63,62.5,0
16,64,50,0
17,65,59.99993,0
18,66,62.5,0
10,67,37.49989,0
19,68,60.00014,0
18,69,62.5,0
14,70,50,0
17,71,50,0
17,72,62.5,0
14,73,75,0
17,74,50,0
18,75,62.5,0
13,76,75,0
17,77,66.66666,0
18,78,62.5,0
13,79,50,0
16,80,50,0
18,81,75,0
14,82,50,0
18,83,50,0
19,84,50,0
9,85,74.99908,0
17,86,50,0
18,87,62.5,0
13,88,50,0
16,89,66.66666,0
18,90,62.5,0
14,91,50,0
16,92,50,0
18,93,75,0
14,94,50,0
16,95,50,0
17,96,62.5,0
15,97,75,0
16,98,50,0
18,99,62.5,0
13,100,50,0
17,101,66.66666,0
15,102,60.00014,0
17,103,74.99977,0
17,104,66.66666,0
18,105,50,0
12,106,75,0
17,107,50,0
18,108,62.5,0
13,109,75,0
17,110,66.66666,0
18,111,62.5,0
13,112,50,0
16,113,56.25034,0
17,114,75,0
13,115,75,0
18,116,50,0
17,117,62.5,0
13,118,50,0
18,119,50,0
17,120,62.5,0
14,121,50,0
17,122,50,0
19,123,64.2856,0
16,124,50,0
13,125,74.99977,0
19,126,50,0
11,127,75,0
18,128,66.66666,0
20,129,62.5,0
12,130,75,0
19,131,66.66666,0
17,132,50,0
13,133,75,0
17,134,50,0
19,135,62.5,0
13,136,50,0
18,137,66.66721,0
18,138,50,0
13,139,50,0
12,140,56.24931,0
19,141,62.5,0
13,142,75,0
18,143,66.66666,0
16,144,62.5,0
14,145,50,0
17,146,50,0
18,147,62.5,0
13,148,75,0
14,149,56.25034,0
18,150,62.5,0
13,151,75,0
16,152,56.25034,0
19,153,62.5,0
7,154,74.99908,0
17,155,66.66666,0
17,156,62.5,0
17,157,75,0
17,158,66.66666,0
18,159,62.5,0
15,160,50,0
16,161,66.66666,0
18,162,62.5,0
13,163,50,0
11,164,37.49954,0
20,165,62.5,0
13,166,50,0
18,167,66.66666,0
17,168,50,0
14,169,75,0
18,170,66.66666,0
16,171,50,0
15,172,50,0
17,173,66.66666,0
16,174,62.5,0
15,175,42.85774,0
15,176,56.24931,0
18,177,57.69274,0
15,178,50,0
17,179,66.66666,0
16,180,62.5,0
17,181,75,0
16,182,66.66666,0
17,183,75,0
15,184,50,0
15,185,50,0
17,186,62.5,0
15,187,75,0
17,188,50,0
19,189,57.69209,0
12,190,50,0
17,191,50,0
20,192,62.5,0
12,193,75,0
16,194,56.25034,0
18,195,62.5,0
13,196,75,0
17,197,50,0
18,198,62.5,0
13,199,75,0
14,200,74.99908,0
20,201,62.5,0
12,202,75,0
18,203,66.66666,0
17,204,62.5,0
13,205,50,0
18,206,50,0
17,207,62.5,0
13,208,75,0
18,209,50,0
18,210,62.5,0
11,211,50,0
19,212,66.66666,0
18,213,62.5,0
11,214,50,0
19,215,66.66666,0
18,216,62.5,0
11,217,50,0
20,218,50,0
16,219,68.18212,0
10,220,75,0
19,221,66.66666,0
19,222,50,0
10,223,75,0
19,224,66.66666,0
19,225,50,0
11,226,75,0
18,227,50,0
19,228,62.5,0
10,229,50,0
19,230,66.66666,0
20,231,50,0
9,232,75,0
18,233,50,0
21,234,62.5,0
9,235,50,0
19,236,66.66666,0
19,237,50,0
10,238,75,0
18,239,66.66666,0
20,240,62.5,0
10,241,50,0
19,242,66.66666,0
18,243,62.5,0
11,244,50,0
16,245,56.25034,0
20,246,62.5,0
11,247,75,0
18,248,66.66666,0
19,249,50,0
11,250,50,0
17,251,50,0
21,252,75,0
10,253,50,0
17,254,66.66666,0
20,255,54.54497,0
7,256,90.00088,0
18,257,50,0
22,258,75,0
8,259,75,0
19,260,59.99971,0
22,261,62.5,0
9,262,50,0
17,263,50,0
21,264,62.5,0
10,265,75,0
17,266,50,0
23,267,64.28594,0
13,268,50,0
18,269,50,0
17,270,62.5,0
13,271,75,0
19,272,50,0
16,273,62.5,0
14,274,49.99878,0
18,275,66.66666,0
16,276,62.5,0
15,277,50,0
17,278,50,0
16,279,50,0
13,280,50,0
19,281,66.66666,0
16,282,50,0
15,283,75,0
17,284,66.66666,0
16,285,62.5,0
14,286,50,0
14,287,75.00183,0
20,288,62.5,0
13,289,50,0
16,290,66.66666,0
18,291,50,0
13,292,75,0
17,293,66.66666,0
19,294,62.5,0
12,295,50,0
16,296,66.66666,0
19,297,62.5,0
13,298,50,0
15,299,50,0
23,300,60,0
15,301,75,0
17,302,50,0
16,303,62.5,0
15,304,75,0
15,305,50,0
18,306,50,0
15,307,75,0
16,308,50,0
22,309,57.69144,0
12,310,50,0
15,311,66.66666,0
20,312,62.5,0
14,313,50,0
14,314,66.66666,0
21,315,50,0
13,316,75,0
14,317,50,0
20,318,62.5,0
12,319,60.00234,0
16,320,50,0
19,321,62.5,0
14,322,50,0
15,323,66.66666,0
20,324,50,0
13,325,50,0
14,326,66.66666,0
22,327,50,0
12,328,75,0
16,329,50,0
20,330,75,0
11,331,50,0
17,332,50,0
20,333,62.5,0
11,334,50,0
16,335,66.66666,0
21,336,50,0
11,337,50,0
14,338,56.24931,0
22,339,62.5,0
10,340,75,0
17,341,50,0
20,342,62.5,0
11,343,50,0
17,344,66.66666,0
20,345,50,0
12,346,75,0
15,347,50,0
21,348,62.5,0
12,349,50,0
15,350,66.66666,0
22,351,62.5,0
11,352,50,0
15,353,66.66666,0
23,354,62.5,0
9,355,50,0
16,356,66.66666,0
22,357,62.5,0
10,358,75,0
16,359,50,0
24,360,53.57106,0
12,361,75,0
17,362,66.66666,0
21,363,50,0
11,364,75,0
10,365,42.85774,0
21,366,62.5,0
13,367,50,0
