Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,AverageWaitTime,Throughput,CurrentPhase,PhaseGreenTime,FuelConsumed
1,5,5,34.04486,0,0.1468651,2,30,0
2,14,4,76.21367,0,0.1836941,1,20,0
3,25,5,97.25021,0,0.2570688,1,20,0
4,37,1,100,0,0.3699999,2,30,0
5,47,4,99.46704,0,0.4725183,2,30,0
6,59,6,99.40652,0,0.5935224,2,30,0
7,71,7,100,0,0.71,2,30,0
8,84,3,100,0,0.84,0,40,0
9,96,2,100,0,0.96,0,40,0
10,108,1,100,0,1.08,0,40,0
11,120,1,100,0,1.2,1,20,0
12,132,4,100,0,1.32,1,20,0
13,143,4,100,0,1.43,1,20,0
14,156,6,100,0,1.56,2,30,0
15,168,8,100,0,1.68,2,30,0
16,180,8,100,0,1.8,2,30,0
17,193,3,100,0,1.93,0,40,0
18,206,2,100,0,2.06,0,40,0
19,217,2,100,0,2.17,0,40,0
20,228,2,100.0001,0,2.279997,1,20,0
21,240,3,100,0,2.4,1,20,0
22,252,4,99.99988,0,2.520003,1,20,0
23,264,6,100,0,2.64,2,30,0
24,277,4,100,0,2.77,2,30,0
25,288,8,100,0,2.88,2,30,0
26,299,3,100,0,2.99,0,40,0
27,310,1,100,0,3.1,0,40,0
28,322,1,100,0,3.22,0,40,0
29,335,2,100,0,3.35,1,20,0
30,347,3,100,0,3.47,1,20,0
31,357,4,100,0,3.57,1,20,0
32,370,3,100,0,3.7,2,30,0
33,381,5,100.0002,0,3.809991,2,30,0
34,392,6,100,0,3.92,2,30,0
35,405,2,100,0,4.05,0,40,0
36,417,1,100,0,4.17,0,40,0
37,429,1,100,0,4.29,0,40,0
38,441,2,100,0,4.41,1,20,0
39,453,3,100,0,4.53,1,20,0
40,466,5,100,0,4.66,1,20,0
41,478,5,100,0,4.78,2,30,0
42,491,7,99.99976,0,4.910012,2,30,0
43,504,8,100,0,5.04,2,30,0
44,516,2,100,0,5.16,0,40,0
45,529,1,100,0,5.29,0,40,0
46,541,1,100,0,5.41,0,40,0
47,554,3,100,0,5.54,1,20,0
48,565,3,100,0,5.65,1,20,0
49,576,4,100,0,5.76,1,20,0
50,589,6,100,0,5.89,2,30,0
51,601,6,100,0,6.01,2,30,0
52,614,8,100,0,6.14,2,30,0
53,626,4,100,0,6.26,0,40,0
54,638,1,100,0,6.38,0,40,0
55,652,2,100,0,6.52,0,40,0
56,663,2,100,0,6.63,1,20,0
57,675,3,100,0,6.75,1,20,0
58,687,5,100,0,6.87,1,20,0
59,699,6,100.0005,0,6.989966,2,30,0
60,711,5,100,0,7.11,2,30,0
61,723,9,100,0,7.23,2,30,0
62,735,3,100,0,7.35,0,40,0
63,746,1,100,0,7.46,0,40,0
64,757,1,100,0,7.57,0,40,0
65,769,2,100,0,7.69,1,20,0
66,782,3,100,0,7.82,1,20,0
67,794,4,100,0,7.94,1,20,0
68,806,2,100,0,8.06,2,30,0
69,818,7,100,0,8.18,2,30,0
70,830,7,100,0,8.3,2,30,0
71,843,2,100,0,8.43,0,40,0
72,856,1,100,0,8.56,0,40,0
73,867,1,100,0,8.67,0,40,0
74,879,2,100,0,8.79,1,20,0
75,890,3,100,0,8.9,1,20,0
76,902,4,100,0,9.02,1,20,0
77,914,5,100,0,9.14,2,30,0
78,928,8,100,0,9.28,2,30,0
79,940,7,100,0,9.4,2,30,0
80,953,2,100,0,9.53,0,40,0
81,966,1,100,0,9.66,0,40,0
82,979,1,100,0,9.79,0,40,0
83,991,2,100,0,9.91,1,20,0
84,1003,3,100,0,10.03,1,20,0
85,1016,4,100,0,10.16,1,20,0
86,1029,6,100,0,10.29,2,30,0
87,1041,6,100,0,10.41,2,30,0
88,1053,9,100,0,10.53,2,30,0
89,1064,2,100,0,10.64,0,40,0
90,1075,2,100,0,10.75,0,40,0
91,1087,2,100,0,10.87,0,40,0
92,1100,2,100,0,11,1,20,0
93,1111,3,100,0,11.11,1,20,0
94,1122,4,100,0,11.22,1,20,0
95,1132,5,100,0,11.32,2,30,0
96,1144,7,100,0,11.44,2,30,0
97,1156,7,100,0,11.56,2,30,0
98,1169,3,100,0,11.69,0,40,0
99,1182,1,100,0,11.82,0,40,0
100,1195,1,100,0,11.95,0,40,0
101,1207,2,100,0,12.07,1,20,0
102,1219,3,100,0,12.19,1,20,0
103,1231,4,100,0,12.31,1,20,0
104,1244,5,100,0,12.44,2,30,0
105,1257,7,100,0,12.57,2,30,0
106,1268,6,100,0,12.68,2,30,0
107,1279,1,100,0,12.79,0,40,0
108,1291,1,100,0,12.91,0,40,0
