Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
1,1,1,1,1.014025
2,1,1,1,2.018714
3,1,1,1,3.021067
4,1,1,1,4.031946
5,1,1,1,5.04178
6,1,1,1,6.089295
7,1,2,2,7.159193
8,1,2,2,8.220265
9,1,2,2,9.245573
10,1,2,2,10.24738
11,1,2,2,11.26345
12,1,2,2,12.26767
13,1,2,2,13.44885
14,1,3,3,14.66045
15,1,3,3,16.02205
16,1,3,3,17.20976
17,1,3,3,18.6728
18,1,3,3,19.69908
19,1,3,3,20.84221
20,1,4,4,21.90969
21,1,4,4,23.00441
22,1,4,4,24.11822
23,1,4,4,25.32173
24,1,4,4,26.76898
25,1,4,4,27.78963
26,1,4,4,29.27388
27,1,4,4,30.59664
28,1,5,5,31.60168
29,1,5,5,32.97661
30,1,5,5,34.04486
31,2,5,5,35.42294
32,2,5,5,37.0197
33,2,6,6,39.15063
34,2,6,6,40.26386
35,2,6,6,41.28177
36,2,6,6,43.37792
37,2,7,7,44.52272
38,2,7,7,45.73569
39,2,7,7,47.0741
40,2,7,7,48.84128
41,2,7,7,50.91103
42,2,7,7,53.24384
43,2,7,6,56.04203
44,2,8,3,59.04203
45,2,8,1,62.04203
46,2,8,1,65.04204
47,2,9,1,68.04204
48,2,9,1,71.08818
49,2,10,2,74.22205
50,2,10,1,77.55538
51,2,11,2,80.57155
52,2,11,1,83.6802
53,2,11,1,87.01353
54,2,12,2,90.34686
55,2,12,2,93.6802
56,2,12,2,97.01353
57,2,13,3,100.3469
58,2,13,3,103.6802
59,2,14,4,107.0135
60,2,14,4,110.2585
61,3,14,4,113.2626
62,3,14,4,116.5959
63,3,15,5,119.9292
64,3,15,5,123.2626
65,3,15,5,126.5959
66,3,16,6,129.9292
67,3,16,6,133.2626
68,3,17,7,136.5959
69,3,17,7,139.9292
70,3,17,7,143.2626
71,3,18,8,146.5959
72,3,18,8,149.9292
73,3,18,5,153.2626
74,3,19,2,156.5959
75,3,19,1,159.9292
76,3,19,1,163.2626
77,3,20,1,166.5959
78,3,20,1,169.6132
79,3,20,1,172.2733
80,3,21,1,174.9596
81,3,21,1,177.9208
82,3,21,1,181.2542
83,3,21,1,184.5875
84,3,22,2,187.9208
85,3,22,2,191.2542
86,3,23,3,194.5875
87,3,23,3,197.8069
88,3,24,4,200.8713
89,3,24,4,204.2046
90,3,25,5,207.5087
91,4,25,5,210.8421
92,4,25,5,214.1754
93,4,26,6,217.5088
94,4,26,6,220.8421
95,4,27,7,224.1754
96,4,27,7,227.5088
97,4,28,8,230.8421
98,4,28,8,234.1754
99,4,29,9,237.5088
100,4,29,9,240.8421
101,4,30,10,244.1754
102,4,30,8,247.5088
103,4,31,5,250.8421
104,4,31,2,254.1754
105,4,31,1,257.5088
106,4,32,1,260.8421
107,4,32,1,264.1754
108,4,32,1,267.5088
109,4,33,1,270.8421
110,4,33,1,274.1754
111,4,34,2,277.5088
112,4,34,2,280.8421
113,4,34,2,284.1754
114,4,35,3,287.5088
115,4,35,3,290.8421
116,4,35,3,294.1754
117,4,36,4,297.5088
118,4,36,4,300.8421
119,4,37,5,304.1754
120,4,37,1,307.5088
121,5,37,1,310.8421
122,5,38,2,314.1754
123,5,38,2,317.5088
124,5,38,2,320.8421
125,5,39,3,324.1754
126,5,39,3,327.5088
127,5,39,3,330.8421
128,5,40,4,334.1754
129,5,40,2,337.5088
130,5,40,1,340.8421
131,5,41,1,344.1754
132,5,41,1,347.5088
133,5,41,1,350.8421
134,5,42,1,353.8813
135,5,42,1,357.0284
136,5,42,1,360.3617
137,5,42,0,363.6425
138,5,43,1,366.9758
139,5,43,1,370.3091
140,5,44,2,373.6425
141,5,44,2,376.9758
142,5,45,3,380.3091
143,5,45,3,383.6425
144,5,45,3,386.9758
145,5,46,4,390.3091
146,5,46,4,393.6425
147,5,46,4,396.9758
148,5,47,4,400.3091
149,5,47,4,403.6425
150,5,47,4,406.9758
151,6,48,5,410.3091
152,6,48,5,413.6425
153,6,48,5,416.9758
154,6,49,6,420.3091
155,6,49,6,423.6425
156,6,49,6,426.9758
157,6,50,5,430.3091
158,6,50,1,433.6425
159,6,51,2,436.9758
160,6,51,1,440.3091
161,6,52,2,443.6425
162,6,52,1,446.9758
163,6,52,1,450.0079
164,6,53,1,453.049
165,6,53,1,456.3823
166,6,53,1,459.7156
167,6,54,2,463.049
168,6,54,2,466.3823
169,6,55,3,469.7157
170,6,55,3,473.049
171,6,56,4,476.3823
172,6,56,4,479.7157
173,6,57,5,483.049
174,6,57,5,486.3823
175,6,57,5,489.7157
176,6,58,5,493.049
177,6,58,5,496.3823
178,6,58,5,499.7157
179,6,59,6,503.049
180,6,59,6,506.3823
181,7,59,6,509.7157
182,7,60,7,513.049
183,7,60,7,516.3823
184,7,60,7,519.7156
185,7,61,6,523.049
186,7,61,3,526.3823
187,7,62,2,529.7156
188,7,62,1,533.049
189,7,63,2,536.3823
190,7,63,1,539.7156
191,7,63,1,543.049
192,7,64,1,546.3823
193,7,64,1,549.7156
194,7,64,1,553.049
195,7,65,2,556.3823
196,7,65,2,559.7156
197,7,65,2,563.049
198,7,66,3,566.3823
199,7,66,3,569.7156
200,7,66,3,573.049
201,7,67,4,576.3823
202,7,67,4,579.7156
203,7,68,4,583.049
204,7,68,4,586.3823
205,7,69,5,589.7156
206,7,69,5,593.049
207,7,70,6,596.3823
208,7,70,6,599.7156
209,7,71,7,603.049
210,7,71,7,606.3823
211,8,71,7,609.7156
212,8,72,5,613.049
213,8,72,2,616.3823
214,8,73,2,619.7156
215,8,73,1,623.049
216,8,74,2,626.3823
217,8,74,1,629.7156
218,8,75,2,633.049
219,8,75,1,636.3823
220,8,75,1,639.7156
221,8,76,2,643.049
222,8,76,2,646.3823
223,8,76,2,649.7156
224,8,77,3,653.049
225,8,77,3,656.3823
226,8,78,4,659.7156
227,8,78,4,663.049
228,8,79,5,666.3823
229,8,79,5,669.7156
230,8,80,5,673.049
231,8,80,5,676.3823
232,8,81,6,679.7156
233,8,81,6,683.049
234,8,81,6,686.3823
235,8,82,7,689.7156
236,8,82,7,693.049
237,8,82,7,696.3823
238,8,83,8,699.7156
239,8,83,6,703.049
240,8,84,3,706.3823
241,9,84,1,709.7156
242,9,84,1,713.049
243,9,85,1,716.3823
244,9,85,1,719.7156
245,9,86,2,723.049
246,9,86,1,726.3823
247,9,87,2,729.7156
248,9,87,2,733.049
249,9,88,3,736.3823
250,9,88,3,739.7156
251,9,89,4,743.049
252,9,89,4,746.3823
253,9,89,4,749.7156
254,9,90,5,753.049
255,9,90,5,756.3823
256,9,90,5,759.7156
257,9,91,6,763.049
258,9,91,6,766.3823
259,9,91,6,769.7156
260,9,92,7,773.049
261,9,92,7,776.3823
262,9,92,7,779.7156
263,9,93,8,783.049
264,9,93,8,786.3823
265,9,93,8,789.7157
266,9,94,6,793.049
267,9,94,2,796.3823
268,9,95,2,799.7157
269,9,95,1,803.049
270,9,96,2,806.3823
271,10,96,1,809.7157
272,10,96,1,813.049
273,10,97,1,816.3823
274,10,97,1,819.7157
275,10,97,1,823.049
276,10,98,2,826.3823
277,10,98,2,829.7157
278,10,99,3,833.049
279,10,99,3,836.3823
280,10,100,4,839.7157
281,10,100,4,843.049
282,10,101,5,846.3823
283,10,101,5,849.7157
284,10,101,5,853.049
285,10,102,6,856.3823
286,10,102,6,859.7157
287,10,103,7,863.049
288,10,103,7,866.3823
289,10,104,8,869.7157
290,10,104,8,873.049
291,10,104,8,876.3823
292,10,105,9,879.7157
293,10,105,6,883.049
294,10,106,3,886.3823
295,10,106,1,889.7157
296,10,107,2,893.049
297,10,107,1,896.3823
298,10,107,1,899.7157
299,10,108,1,903.049
300,10,108,1,906.3823
301,11,109,2,909.7157
302,11,109,2,913.049
303,11,109,2,916.3823
304,11,110,3,919.7157
305,11,110,3,923.049
306,11,110,3,926.3823
307,11,111,4,929.7157
308,11,111,4,933.049
309,11,112,5,936.3823
310,11,112,5,939.7157
311,11,113,6,943.049
312,11,113,6,946.3823
313,11,113,6,949.7157
314,11,114,7,953.049
315,11,114,7,956.3823
316,11,114,7,959.7157
317,11,115,8,963.049
318,11,115,8,966.3823
319,11,116,9,969.7157
320,11,116,6,973.049
321,11,117,3,976.3823
322,11,117,1,979.7157
323,11,118,2,983.049
324,11,118,1,986.3823
325,11,119,2,989.7157
326,11,119,1,993.049
327,11,119,1,996.3823
328,11,120,1,999.7157
329,11,120,1,1003.049
330,11,120,1,1006.382
331,12,121,2,1009.716
332,12,121,2,1013.049
333,12,121,2,1016.382
334,12,122,3,1019.716
335,12,122,3,1023.049
336,12,122,3,1026.382
337,12,123,4,1029.716
338,12,123,2,1033.049
339,12,124,3,1036.382
340,12,124,3,1039.716
341,12,125,4,1043.049
342,12,125,4,1046.382
343,12,125,4,1049.716
344,12,126,5,1053.049
345,12,126,5,1056.382
346,12,126,5,1059.716
347,12,127,3,1063.049
348,12,127,1,1066.382
349,12,127,1,1069.716
350,12,128,1,1073.049
351,12,128,1,1076.382
352,12,128,1,1079.716
353,12,129,1,1083.049
354,12,129,1,1086.382
355,12,129,1,1089.716
356,12,130,2,1093.049
357,12,130,2,1096.382
358,12,131,3,1099.716
359,12,131,3,1103.049
